model,variant,parameters,max_pearson,max_spearman
SegFormer-B0,b0,3752694,0.17845769774816594,0.18164396055848495
SegFormer-B1,b1,13715798,0.26382657891743305,0.2810726717008897
SegFormer-B2,b2,27461974,0.3412208832191474,0.3197348707411677
SegFormer-B3,b3,47337814,0.1908601632287334,0.15439736647471222
SegFormer-B4,b4,64108374,0.4273453362459665,0.4545873956843242
SegFormer-B5,b5,84708694,0.2207894850654758,0.1892124589150885
